STKCD,date,BE
1,1999-12-31,2900830706.0
1,2000-12-31,4738883655.0
1,2001-12-31,3627668792.0
1,2002-12-31,3768021373.0
1,2003-12-31,3965084093.0
1,2004-12-31,4684662288.0
1,2005-12-31,5043041955.0
1,2006-12-31,6474463247.0
1,2007-12-31,13006063000.0
1,2008-12-31,16400790000.0
1,2009-12-31,20469609000.0
1,2010-12-31,33512876000.0
1,2011-12-31,72138354000.0
1,2011-12-31,75380584000.0
1,2012-12-31,84798775000.0
1,2013-12-31,112081000000.0
1,2014-12-31,130949000000.0
2,1999-12-31,2146310711.04
2,2000-12-31,2965644960.7
2,2001-12-31,3126082290.11
2,2002-12-31,3426458874.91
2,2003-12-31,4702011505.95
2,2003-12-31,4760460394.55
2,2004-12-31,6203247859.07
2,2004-12-31,6304447542.07
2,2005-12-31,8305976417.67
2,2005-12-31,8581223228.07
2,2006-12-31,14872302653.41
2,2006-12-31,17005996136.02
2,2007-12-31,26069128770.68
2,2007-12-31,33919523029.04
2,2008-12-31,26149901582.9
2,2008-12-31,38818549481.2
2,2009-12-31,29123178901.13
2,2009-12-31,45408512454.07
2,2010-12-31,31908548659.14
2,2010-12-31,54586199642.41
2,2011-12-31,35288150672.11
2,2011-12-31,67832538547.03
2,2012-12-31,39563846934.78
2,2012-12-31,82138194988.1
2,2013-12-31,45581004040.15
2,2013-12-31,105439423398.63
2,2014-12-31,53136059328.84
2,2014-12-31,115893616919.97
3,1999-12-31,102284962.02
4,1999-12-31,105513161.66
4,2000-12-31,120902366.31
4,2001-12-31,119724334.06
4,2002-12-31,124019920.26
4,2003-12-31,102832932.76
4,2003-12-31,128419397.46
4,2004-12-31,99062632.84
4,2004-12-31,122627717.86
4,2005-12-31,85560936.21
4,2005-12-31,99936230.72
4,2006-12-31,86989687.31
4,2006-12-31,112282767.73
4,2007-12-31,65370957.94
4,2007-12-31,97786636.58
4,2008-12-31,64841432.28
4,2008-12-31,85282445.09
4,2009-12-31,63554029.99
4,2009-12-31,89814978.73
4,2010-12-31,60953440.78
4,2010-12-31,129216251.73
4,2011-12-31,56156525.08
4,2011-12-31,138409319.55
4,2012-12-31,49016444.98
4,2012-12-31,148055837.92
4,2013-12-31,55335440.42
4,2013-12-31,144506815.2
4,2014-12-31,57891560.24
4,2014-12-31,157384459.35
5,1999-12-31,1039408703.68
5,2000-12-31,840900625.02
5,2001-12-31,1091153290.75
5,2002-12-31,977017818.29
5,2003-12-31,1074615895.91
5,2003-12-31,926771804.6
5,2004-12-31,1076872617.95
5,2004-12-31,888371888.29
5,2005-12-31,896902568.43
5,2005-12-31,660200203.35
5,2006-12-31,701694570.71
5,2006-12-31,1089672118.82
5,2007-12-31,750359915.45
5,2007-12-31,1177643453.11
5,2008-12-31,328580128.42
5,2008-12-31,751958840.55
5,2009-12-31,286970349.75
5,2009-12-31,702377193.47
5,2010-12-31,311534624.85
5,2010-12-31,688143953.52
5,2011-12-31,313426170.48
5,2011-12-31,659936595.87
5,2012-12-31,342705103.2
5,2012-12-31,682099361.53
5,2013-12-31,315601695.27
5,2013-12-31,624244271.48
5,2014-12-31,401944237.64
5,2014-12-31,669715028.8
6,1999-12-31,1186756604.78
6,2000-12-31,1263943881.17
6,2001-12-31,1333144548.5
6,2002-12-31,1387971772.68
6,2003-12-31,946512361.99
6,2003-12-31,1080826515.52
6,2004-12-31,1003365408.92
6,2004-12-31,1129776820.58
6,2005-12-31,1102934254.99
6,2005-12-31,1129531705.03
6,2006-12-31,1268628035.27
6,2006-12-31,1326413366.01
6,2007-12-31,1796273226.8
6,2007-12-31,1694291391.73
6,2008-12-31,1677691792.04
6,2008-12-31,1710868418.43
6,2009-12-31,2161835121.76
6,2009-12-31,2191957762.94
6,2010-12-31,2302915626.59
6,2010-12-31,2558318520.41
6,2011-12-31,2711881762.78
6,2011-12-31,2888929690.93
6,2012-12-31,3078268268.16
6,2012-12-31,3548961831.39
6,2013-12-31,3378027348.7
6,2013-12-31,4186908808.12
6,2014-12-31,3446415905.01
6,2014-12-31,4214465816.44
7,1999-12-31,332307078.66
7,2000-12-31,137968824.75
7,2001-12-31,187601112.28
7,2002-12-31,260884551.75
7,2003-12-31,211202481.67
7,2003-12-31,264375711.47
7,2004-12-31,66180359.77
7,2004-12-31,95138256.73
7,2005-12-31,73919621.4
7,2005-12-31,108502439.78
7,2006-12-31,17128566.88
7,2011-12-31,214579469.44
7,2011-12-31,292316699.44
7,2012-12-31,216800621.65
7,2012-12-31,296794578.85
7,2013-12-31,262117473.19
7,2013-12-31,353245479.71
7,2014-12-31,249093680.74
7,2014-12-31,357966239.07
8,1999-12-31,98543544.0
8,2000-12-31,124197388.0
8,2003-12-31,30559959.1
8,2003-12-31,30559959.1
8,2004-12-31,72853216.36
8,2005-12-31,67236840.71
8,2005-12-31,68036893.14
8,2006-12-31,71529785.43
8,2007-12-31,73212022.33
8,2008-12-31,73960059.47
8,2009-12-31,73326223.8
8,2010-12-31,74215172.06
8,2011-12-31,73860933.59
8,2012-12-31,536518875.55
8,2012-12-31,540826405.7
8,2013-12-31,536427505.0
8,2013-12-31,563584359.64
8,2014-12-31,582047001.08
8,2014-12-31,598350762.28
9,1999-12-31,1338071500.69
9,2000-12-31,1396643528.48
9,2001-12-31,1300356236.28
9,2002-12-31,1269723378.01
9,2003-12-31,1139160618.46
9,2003-12-31,1310328546.89
9,2004-12-31,1201072903.6
9,2004-12-31,1673828973.35
9,2005-12-31,1142062397.52
9,2005-12-31,1711699755.68
9,2006-12-31,1301393920.36
9,2006-12-31,1948593650.42
9,2007-12-31,1266263301.76
9,2007-12-31,2386635086.13
9,2008-12-31,1488597963.63
9,2008-12-31,2494360614.46
9,2009-12-31,1500295053.26
9,2009-12-31,2985108834.59
9,2010-12-31,1489305270.45
9,2010-12-31,3713831484.34
9,2011-12-31,1582478367.0
9,2011-12-31,4120231250.37
9,2012-12-31,1648232136.8
9,2012-12-31,4693352662.36
9,2013-12-31,2018610498.32
9,2013-12-31,5052731140.03
9,2014-12-31,2148401523.42
9,2014-12-31,5464128278.29
10,1999-12-31,131896141.0
10,2000-12-31,166946942.18
10,2001-12-31,165659167.76
10,2002-12-31,310187817.38
10,2003-12-31,169873762.48
10,2003-12-31,344874157.7
10,2004-12-31,155313396.08
10,2004-12-31,346051152.85
10,2005-12-31,57022163.71
10,2005-12-31,73783588.65
10,2006-12-31,64290358.69
10,2006-12-31,86444211.11
10,2007-12-31,137354997.98
10,2007-12-31,133690504.92
10,2008-12-31,70853368.18
10,2008-12-31,71482381.69
10,2009-12-31,39992148.15
10,2009-12-31,83779879.05
10,2010-12-31,36571538.01
10,2010-12-31,85427997.9
10,2011-12-31,38686686.07
10,2011-12-31,93421861.4
10,2012-12-31,36295672.43
10,2012-12-31,95375117.75
